Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),S3 and Backup,S3 Standard,0,230,2760.00,USD,S3 Standard storage (10000 GB per month)
My Estimate,US East (N. Virginia),Web Server,Amazon EC2,0,182.66,2191.92,USD,"Operating system (Linux), Quantity (2), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.xlarge)"
My Estimate,US East (N. Virginia),Application Server,Amazon EC2,0,3758.2,45098.40,USD,"Operating system (Linux), Quantity (2), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (c5.metal)"
My Estimate,US East (N. Virginia),Database,Amazon RDS for MySQL,0,2799.32,33591.84,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5000 GB), Quantity (2), Instance type (db.m5.large), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,77.85,934.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Load Balancer,Classic Load Balancer,0,620.5,7446.00,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (50 GB per hour)"
My Estimate,US East (N. Virginia),AWS Firewall,AWS Web Application Firewall (WAF),0,50.4,604.80,USD,"Number of Web Access Control Lists (Web ACLs) utilized (4 per month), Number of Rules added per Web ACL (4 per month), Number of Rule Groups per Web ACL (4 per month), Number of Rules inside each Rule Group (4 per month), Number of Managed Rule Groups (4 per month)"
My Estimate,US East (N. Virginia),,Amazon ElastiCache,0,2454.99,29459.88,USD,Nodes ( 3 instances of type Memcached  Memory optimized  cache r6g.4xlarge  Reserved  No Upfront  1yr )
My Estimate,US East (Ohio),AWS Firewall,AWS Web Application Firewall (WAF),0,50.4,604.80,USD,"Number of Web Access Control Lists (Web ACLs) utilized (4 per month), Number of Rules added per Web ACL (4 per month), Number of Rule Groups per Web ACL (4 per month), Number of Rules inside each Rule Group (4 per month), Number of Managed Rule Groups (4 per month)"
My Estimate,US East (Ohio),Load Balancer,Classic Load Balancer,0,620.5,7446.00,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (50 GB per hour)"
My Estimate,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,77.85,934.20,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),S3 and Backup,S3 Standard,0,230,2760.00,USD,S3 Standard storage (10000 GB per month)
My Estimate,US East (Ohio),Database,Amazon RDS for MySQL,0,2799.32,33591.84,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5000 GB), Quantity (2), Instance type (db.m5.large), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),Application Server,Amazon EC2,0,3758.2,45098.40,USD,"Operating system (Linux), Quantity (2), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (c5.metal)"
My Estimate,US East (Ohio),Web Server,Amazon EC2,0,182.66,2191.92,USD,"Operating system (Linux), Quantity (2), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.xlarge)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
